Product_id,SupplierID,Category,SubCategory,Brand,Product_Name,SellingPrice,CostPrice,Profit,LaunchDate,IsActive
P00139,SUP0030,Electronics,Laptops,Dell,Dell Laptops Max,107736,95471.92,12264.08,2021-05-01,Yes
P00140,SUP0013,Grocery,Beverages,Sprite,Sprite Beverages Plus,1613,1403.14,209.86,2018-09-21,Yes
P00141,SUP0055,Fashion,Women's Wear,W,W Women's Wear Premium,5611,2447.62,3163.38,2022-01-12,Yes
P00142,SUP0032,Electronics,Laptops,Asus,Asus Laptops Standard,91586,79357.46,12228.54,2021-01-14,Yes
P00143,SUP0061,Electronics,Televisions,TCL,TCL Televisions Max,191283,161452.82,29830.18,2021-03-11,Yes
P00144,SUP0007,Grocery,Beverages,7UP,7UP Beverages Standard,392,333.7,58.3,2023-03-28,Yes
P00145,SUP0051,Grocery,Beverages,Sprite,Sprite Beverages Plus,1926,1719.52,206.48,2020-02-03,Yes
P00146,SUP0054,Fashion,Footwear,Skechers,Skechers Footwear Standard,11493,5677.29,5815.71,2018-12-19,Yes
P00147,SUP0005,Fashion,Footwear,Bata,Bata Footwear Elite,9221,3701.49,5519.51,2023-05-31,Yes
P00148,SUP0022,Fashion,Women's Wear,H&M,H&M Women's Wear Max,14077,8941.71,5135.29,2025-02-26,Yes
P00149,SUP0046,Grocery,Rice,India Gate,India Gate Rice Max,1098,1015.08,82.92,2018-08-06,Yes
P00150,SUP0027,Electronics,Televisions,TCL,TCL Televisions Premium,66700,53653.99,13046.01,2023-02-03,Yes
P00151,SUP0058,Fashion,Men's Wear,Levi's,Levi's Men's Wear Max,2685,1377.03,1307.97,2023-01-29,Yes
P00152,SUP0032,Electronics,Televisions,Sony,Sony Televisions Standard,37261,33434.19,3826.81,2025-08-07,Yes
P00153,SUP0055,Fashion,Footwear,Adidas,Adidas Footwear Standard,13266,9156.46,4109.54,2025-01-23,Yes
P00154,SUP0015,Grocery,Cooking Oil,Fortune,Fortune Cooking Oil Plus,1173,1049.67,123.33,2021-04-11,Yes
P00155,SUP0063,Grocery,Rice,Daawat,Daawat Rice Standard,1659,1562.72,96.28,2020-03-03,Yes
P00156,SUP0018,Fashion,Footwear,Puma,Puma Footwear Max,8242,3629.28,4612.72,2019-03-09,Yes
P00157,SUP0048,Electronics,Televisions,Samsung,Samsung Televisions Max,115351,95950.43,19400.57,2023-08-25,Yes
P00158,SUP0046,Grocery,Beverages,Sprite,Sprite Beverages Standard,1820,1612.19,207.81,2025-01-17,Yes
P00159,SUP0015,Grocery,Cooking Oil,Dhara,Dhara Cooking Oil Elite,1650,1506.39,143.61,2019-02-11,Yes
P00160,SUP0076,Grocery,Beverages,Pepsi,Pepsi Beverages Max,1239,1097.34,141.66,2026-04-29,Yes
P00161,SUP0058,Fashion,Footwear,Puma,Puma Footwear Plus,1328,920.13,407.87,2026-04-22,Yes
P00162,SUP0004,Electronics,Televisions,Sony,Sony Televisions Elite,47480,38102.85,9377.15,2024-12-31,Yes
P00163,SUP0072,Electronics,Smartphones,Motorola,Motorola Smartphones Premium,100718,84820.28,15897.72,2023-02-15,Yes
P00164,SUP0001,Electronics,Televisions,Samsung,Samsung Televisions Standard,50683,42393.02,8289.98,2022-12-24,Yes
P00165,SUP0004,Electronics,Smartphones,OnePlus,OnePlus Smartphones Standard,148037,124822.93,23214.07,2023-10-23,Yes
P00166,SUP0055,Fashion,Footwear,Adidas,Adidas Footwear Plus,2672,1189.59,1482.41,2021-10-10,Yes
P00167,SUP0072,Electronics,Laptops,Lenovo,Lenovo Laptops Elite,84000,69928.05,14071.95,2021-05-26,Yes
P00168,SUP0037,Fashion,Footwear,Bata,Bata Footwear Plus,4308,1964.67,2343.33,2018-08-25,Yes
P00169,SUP0073,Electronics,Laptops,HP,HP Laptops Plus,156638,126488.9,30149.1,2021-03-13,Yes
P00170,SUP0051,Grocery,Cooking Oil,Dhara,Dhara Cooking Oil Premium,587,533.52,53.48,2019-10-24,Yes
P00171,SUP0037,Fashion,Women's Wear,H&M,H&M Women's Wear Max,10646,4740.74,5905.26,2018-08-15,Yes
P00172,SUP0028,Grocery,Rice,Daawat,Daawat Rice Pro,808,693.26,114.74,2025-07-14,Yes
P00173,SUP0054,Fashion,Men's Wear,Levi's,Levi's Men's Wear Pro,7776,4598.99,3177.01,2021-03-09,Yes
P00174,SUP0016,Fashion,Men's Wear,Levi's,Levi's Men's Wear Pro,10403,5824.65,4578.35,2023-09-13,Yes
P00175,SUP0078,Electronics,Televisions,Sony,Sony Televisions Max,89052,77524.45,11527.55,2023-09-15,Yes
P00176,SUP0060,Electronics,Televisions,Samsung,Samsung Televisions Max,21209,18277.57,2931.43,2022-01-28,Yes
P00177,SUP0068,Grocery,Beverages,Sprite,Sprite Beverages Standard,1618,1495.39,122.61,2019-12-17,Yes
P00178,SUP0002,Fashion,Footwear,Bata,Bata Footwear Standard,12453,5619.58,6833.42,2026-02-17,Yes
P00179,SUP0005,Fashion,Women's Wear,H&M,H&M Women's Wear Max,3954,2100.17,1853.83,2020-09-04,Yes
P00180,SUP0036,Grocery,Rice,India Gate,India Gate Rice Max,806,703.14,102.86,2023-09-27,Yes
P00181,SUP0044,Grocery,Beverages,Pepsi,Pepsi Beverages Elite,527,452.89,74.11,2023-07-06,Yes
P00182,SUP0080,Grocery,Cooking Oil,Dhara,Dhara Cooking Oil Standard,201,183.37,17.63,2024-08-18,Yes
P00183,SUP0059,Fashion,Footwear,Adidas,Adidas Footwear Max,10337,7057.12,3279.88,2020-07-06,Yes
P00184,SUP0070,Grocery,Rice,India Gate,India Gate Rice Pro,129,116.8,12.2,2025-06-03,Yes
P00185,SUP0023,Grocery,Beverages,Coca-Cola,Coca-Cola Beverages Elite,152,132.08,19.92,2018-09-04,Yes
P00186,SUP0066,Fashion,Footwear,Nike,Nike Footwear Max,14888,8962.84,5925.16,2020-06-04,Yes
P00187,SUP0030,Electronics,Televisions,Panasonic,Panasonic Televisions Pro,24992,22086.13,2905.87,2023-08-29,Yes
P00188,SUP0075,Fashion,Men's Wear,Levi's,Levi's Men's Wear Standard,11484,7830.19,3653.81,2023-09-10,Yes
P00189,SUP0051,Grocery,Cooking Oil,Dhara,Dhara Cooking Oil Premium,442,408.2,33.8,2019-08-21,Yes
P00190,SUP0052,Grocery,Rice,Fortune,Fortune Rice Plus,1527,1399.54,127.46,2019-09-05,Yes
P00191,SUP0070,Grocery,Rice,Daawat,Daawat Rice Elite,462,434.1,27.9,2025-03-21,Yes
P00192,SUP0028,Grocery,Rice,Daawat,Daawat Rice Premium,563,525.34,37.66,2024-10-16,Yes
P00193,SUP0024,Grocery,Cooking Oil,Fortune,Fortune Cooking Oil Standard,201,173.67,27.33,2024-02-19,Yes
P00194,SUP0001,Electronics,Smartphones,OnePlus,OnePlus Smartphones Standard,107229,93461.78,13767.22,2018-10-28,Yes
P00195,SUP0011,Grocery,Cooking Oil,Fortune,Fortune Cooking Oil Standard,103,91.31,11.69,2023-06-08,Yes
P00196,SUP0062,Electronics,Smartphones,Apple,Apple Smartphones Max,42946,35879.99,7066.01,2021-06-19,Yes
P00197,SUP0037,Fashion,Women's Wear,Zara,Zara Women's Wear Plus,2945,1624.35,1320.65,2025-09-12,Yes
P00198,SUP0027,Electronics,Televisions,Samsung,Samsung Televisions Premium,132009,106717.84,25291.16,2025-03-16,Yes
P00199,SUP0039,Fashion,Footwear,Skechers,Skechers Footwear Plus,5794,2577.44,3216.56,2020-02-19,Yes
P00200,SUP0025,Electronics,Smartphones,Samsung,Samsung Smartphones Plus,172815,148713.98,24101.02,2021-10-06,Yes
P00201,SUP0067,Fashion,Women's Wear,W,W Women's Wear Elite,12116,5164.85,6951.15,2023-11-12,No
P00202,SUP0004,Electronics,Laptops,Acer,Acer Laptops Standard,37687,32696.28,4990.72,2020-07-20,Yes
P00203,SUP0012,Electronics,Televisions,TCL,TCL Televisions Max,52880,46056.6,6823.4,2023-03-01,Yes
P00204,SUP0066,Fashion,Women's Wear,Biba,Biba Women's Wear Elite,2159,1134.67,1024.33,2025-10-22,Yes
P00205,SUP0022,Fashion,Footwear,Adidas,Adidas Footwear Max,9697,5870.34,3826.66,2023-08-30,Yes
P00206,SUP0059,Fashion,Men's Wear,US Polo,US Polo Men's Wear Pro,3773,1576.32,2196.68,2025-05-15,Yes
P00207,SUP0070,Grocery,Cooking Oil,Dhara,Dhara Cooking Oil Standard,1833,1630.16,202.84,2020-02-07,Yes
P00208,SUP0012,Electronics,Laptops,Asus,Asus Laptops Premium,117630,99904.92,17725.08,2021-08-19,Yes
P00209,SUP0044,Grocery,Beverages,Coca-Cola,Coca-Cola Beverages Plus,1961,1789.56,171.44,2018-12-12,Yes
P00210,SUP0042,Electronics,Laptops,Asus,Asus Laptops Premium,61341,53482.73,7858.27,2018-11-24,Yes
P00211,SUP0030,Electronics,Laptops,HP,HP Laptops Pro,136733,120494.14,16238.86,2025-06-07,Yes
P00212,SUP0022,Fashion,Women's Wear,Global Desi,Global Desi Women's Wear Standard,13161,7781.9,5379.1,2023-05-13,Yes
P00213,SUP0001,Electronics,Televisions,Panasonic,Panasonic Televisions Max,34980,29250.16,5729.84,2025-11-16,Yes
P00214,SUP0044,Grocery,Rice,India Gate,India Gate Rice Standard,1525,1339.95,185.05,2020-10-04,Yes
P00215,SUP0023,Grocery,Beverages,7UP,7UP Beverages Standard,1682,1572.16,109.84,2023-08-06,Yes
P00216,SUP0050,Electronics,Laptops,HP,HP Laptops Premium,177459,150711.39,26747.61,2020-03-25,Yes
P00217,SUP0020,Electronics,Televisions,Sony,Sony Televisions Elite,45458,39888.66,5569.34,2023-03-15,Yes
P00218,SUP0078,Electronics,Smartphones,OnePlus,OnePlus Smartphones Pro,180669,147300.03,33368.97,2020-12-13,Yes
P00219,SUP0065,Grocery,Rice,India Gate,India Gate Rice Max,1074,958.04,115.96,2023-11-27,Yes
P00220,SUP0079,Grocery,Rice,Fortune,Fortune Rice Standard,1355,1186.93,168.07,2025-10-22,Yes
P00221,SUP0023,Grocery,Rice,Fortune,Fortune Rice Elite,1588,1455.43,132.57,2020-05-26,Yes
P00222,SUP0077,Electronics,Televisions,Sony,Sony Televisions Premium,194905,163360.9,31544.1,2022-07-12,Yes
P00223,SUP0062,Electronics,Smartphones,Samsung,Samsung Smartphones Premium,128777,113428.26,15348.74,2021-11-21,Yes
P00224,SUP0068,Grocery,Beverages,Fanta,Fanta Beverages Plus,1163,1087.33,75.67,2020-04-14,No
P00225,SUP0037,Fashion,Women's Wear,Biba,Biba Women's Wear Plus,782,429.25,352.75,2021-02-17,Yes
P00226,SUP0052,Grocery,Cooking Oil,Fortune,Fortune Cooking Oil Plus,532,476.8,55.2,2025-04-08,Yes
P00227,SUP0038,Grocery,Cooking Oil,Saffola,Saffola Cooking Oil Standard,642,554.1,87.9,2026-07-24,Yes
